[INFO] Mi 02.07.2025 02:57:50 CEST → Läuft noch: N=921600000, P=3
[INFO] Mi 02.07.2025 02:58:00 CEST → Läuft noch: N=921600000, P=3
[INFO] Mi 02.07.2025 02:58:10 CEST → Läuft noch: N=921600000, P=3
[INFO] Mi 02.07.2025 02:58:20 CEST → Läuft noch: N=921600000, P=3
[INFO] Mi 02.07.2025 02:58:30 CEST → Läuft noch: N=921600000, P=3
[INFO] Mi 02.07.2025 02:58:40 CEST → Läuft noch: N=921600000, P=3
[INFO] Mi 02.07.2025 02:58:50 CEST → Läuft noch: N=921600000, P=3
[INFO] Mi 02.07.2025 02:59:00 CEST → Läuft noch: N=921600000, P=3
[INFO] Mi 02.07.2025 02:59:10 CEST → Läuft noch: N=921600000, P=3
[INFO] Mi 02.07.2025 02:59:20 CEST → Läuft noch: N=921600000, P=3
[02:59:28] P=3 done
[02:59:28] Messen mit P=4 ...[INFO] Mi 02.07.2025 02:59:30 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 02:59:40 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 02:59:50 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:00:00 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:00:10 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:00:20 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:00:30 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:00:40 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:00:50 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:01:00 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:01:10 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:01:20 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:01:30 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:01:40 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:01:50 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:02:00 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:02:10 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:02:20 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:02:30 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:02:40 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:02:50 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:03:00 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:03:10 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:03:20 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:03:30 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:03:40 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:03:50 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:04:00 CEST → Läuft noch: N=921600000, P=4
[INFO] Mi 02.07.2025 03:04:10 CEST → Läuft noch: N=921600000, P=4
